,Unnamed: 0,comics,id,name
256,56,23,1011398,Romulus
257,57,56,1010344,Ronan
258,58,7,1011117,Roughhouse
259,59,1,1009549,Roulette
260,60,0,1009595,Roxanne Simpson
261,61,8,1009311,Rumiko Fujikawa
262,62,130,1010747,Runaways
263,63,0,1009551,Russian
264,64,159,1009552,S.H.I.E.L.D.
265,65,21,1009553,Sabra
266,66,302,1009554,Sabretooth
267,67,21,1010969,Sabretooth (Age of Apocalypse)
268,68,1,1010970,Sabretooth (House of M)
269,69,23,1010968,Sabretooth (Ultimate)
270,70,31,1009555,Sage
271,71,4,1011325,Salem's Seven (Ultimate)
272,72,7,1011126,Sally Floyd
273,73,1,1011156,Salo
274,74,122,1009558,Sandman
275,75,2,1010711,Santa Claus
276,76,0,1009559,Saracen (Muzzafar Lambert)
277,77,94,1009560,Sasquatch (Walter Langkowski)
278,78,34,1011035,Satana
279,79,54,1009561,Sauron
280,80,11,1011048,Scalphunter
281,81,13,1010861,Scarecrow (Ebenezer Laughton)
282,82,78,1011197,Scarlet Spider (Ben Reilly)
283,83,83,1011426,Scarlet Spider (Kaine)
284,84,524,1009562,Scarlet Witch
285,85,0,1010972,Scarlet Witch (Age of Apocalypse)
286,86,0,1017308,Scarlet Witch (Marvel Heroes)
287,87,29,1010971,Scarlet Witch (Ultimate)
288,88,9,1010790,Scorpion (Carmilla Black)
289,89,1,1011079,Scorpion (Ultimate)
290,90,9,1009565,Scourge
291,91,2,1011230,Scrambler
292,92,9,1009566,Scream (Donna Diego)
293,93,9,1011242,Screwball
294,94,37,1009581,Sebastian Shaw
295,95,42,1011368,Secret Warriors
296,96,27,1009568,Selene
297,97,1,1009569,Senator Kelly
298,98,65,1009570,Sentinel
299,99,58,1011323,Sentinels
300,0,108,1009571,Sentry (Robert Reynolds)
301,1,1,1011167,Ser Duncan
302,2,8,1009572,Serpent Society
303,3,46,1010345,Sersi
304,4,24,1009573,Shadow King
305,5,2,1010973,Shadow King (Age of Apocalypse)
306,6,14,1009574,Shadowcat
307,7,10,1010975,Shadowcat (Age of Apocalypse)
308,8,9,1010974,Shadowcat (Ultimate)
309,9,1,1011406,Shadu the Shady
310,10,10,1009575,Shalla-bal
311,11,46,1009576,Shaman
312,12,0,1014979,Shane Yamada-Jones
313,13,216,1009577,Shang-Chi
314,14,8,1015001,Shang-Chi (Ultimate)
315,15,64,1009578,Shanna the She-Devil
316,16,5,1010712,Shape
317,17,28,1009579,Shard
318,18,112,1009228,Sharon Carter
319,19,9,1010895,Sharon Ventura
320,20,135,1009580,Shatterstar
321,21,0,1017111,She-Hulk (HAS)
322,22,452,1009583,She-Hulk (Jennifer Walters)
323,23,23,1011392,She-Hulk (Lyra)
324,24,0,1017331,She-Hulk (Marvel War of Heroes)
325,25,2,1011393,She-Hulk (Ultimate)
326,26,0,1015035,Shen
327,27,0,1011168,Sheva Callister
328,28,13,1011093,Shi'Ar
329,29,0,1011381,Shinko Yamashiro
330,30,5,1009582,Shinobi Shaw
331,31,6,1009584,Shiva
332,32,1,1011394,Shiver Man
333,33,38,1009585,Shocker (Herman Schultz)
334,34,5,1010858,Shockwave
335,35,1,1010824,Shooting Star
336,36,4,1009586,Shotgun
337,37,7,1009587,Shriek
338,38,170,1009588,Sif
339,39,5,1010848,Silhouette
340,40,0,1010856,Silk Fever
341,41,0,1010339,Silver Centurion
342,42,13,1009589,Silver Fox
343,43,71,1009590,Silver Sable
344,44,38,1009591,Silver Samurai
345,45,13,1010976,Silver Samurai (Age of Apocalypse)
346,46,519,1009592,Silver Surfer
347,47,21,1010864,Silverclaw
348,48,16,1009594,Silvermane
349,49,58,1010898,Sin
350,50,26,1011265,Sinister Six
351,51,0,1014975,Sir Ram
352,52,0,1010834,Siren (Earth-93060)
353,53,7,1010745,Sister Grimm
354,54,74,1011223,Skaar
355,55,0,1017101,Skaar (HAS)
356,56,12,1009598,Skin
357,57,5,1011157,Skreet
358,58,131,1009599,Skrulls
359,59,2,1015002,Skrulls (Ultimate)
360,60,3,1009600,Skullbuster (Cylla Markham)
361,61,30,1011057,Slapstick
362,62,1,1011070,Slayback
363,63,6,1009601,Sleeper
364,64,13,1010761,Sleepwalker
365,65,5,1009602,Slipstream
366,66,1,1010874,Slyde
367,67,17,1009603,Smasher (Vril Rokk)
368,68,0,1010845,Smiling Tiger
369,69,48,1009606,Snowbird
370,70,19,1010855,Solo (James Bourne)
371,71,43,1010693,Songbird
